Type,Data,Timestamp
Nutrient,5,5.030645370483398
pH,23.84,6.043506383895874
TDS,423.5,10.2640540599823
EC,0.0,11.368553161621094
pH,26.68,22.388586044311523
TDS,421.9,26.54865574836731
EC,0.0,27.650099515914917
pH,26.5,38.666563510894775
TDS,421.9,42.8287353515625
EC,0.0,43.93182587623596
pH,26.13,54.94846534729004
TDS,421.9,59.11062788963318
EC,0.0,60.21518397331238
pH,25.94,71.2318606376648
TDS,421.9,75.3935923576355
EC,0.0,76.49707674980164
pH,25.82,87.51359701156616
TDS,421.0,91.67551636695862
EC,0.0,92.77865672111511
Nutrient,5,107.79414558410645
pH,23.29,108.80084347724915
TDS,423.5,112.98334097862244
EC,0.0,114.08674168586731
pH,25.88,125.10328340530396
TDS,457.3,129.2654721736908
EC,0.0,130.36875987052917
pH,26.68,141.3852574825287
TDS,475.0,145.54763174057007
EC,0.0,146.650812625885
pH,26.68,157.66734433174133
TDS,470.8,161.82969617843628
EC,0.0,162.93422651290894
pH,12.06,173.95073008537292
TDS,460.8,178.1130611896515
EC,0.0,179.2163610458374
pH,15.58,190.2329602241516
TDS,469.8,194.39511799812317
EC,0.0,195.49846959114075
Nutrient,5,210.51396536827087
pH,23.84,211.5204882621765
TDS,479.6,215.70319318771362
EC,0.0,216.8065869808197
pH,26.31,227.82312846183777
TDS,467.3,231.98553681373596
EC,0.0,233.08879208564758
pH,25.82,244.10525012016296
TDS,460.8,248.26776432991028
EC,0.0,249.3721661567688
pH,26.74,260.38868975639343
TDS,473.5,264.5509822368622
EC,0.0,265.65432620048523
pH,26.19,276.6709167957306
TDS,479.6,280.8332862854004
EC,0.0,281.93660044670105
pH,26.0,292.9530839920044
TDS,464.8,297.1152400970459
EC,0.0,298.21991753578186
Nutrient,5,313.2325737476349
pH,25.2,314.23917150497437
TDS,469.8,318.42372393608093
EC,0.0,319.52740502357483
pH,26.5,330.54391384124756
TDS,442.4,334.70592308044434
EC,0.0,335.81052708625793
pH,22.49,346.8273298740387
TDS,442.4,350.98946714401245
EC,0.0,352.0930562019348
pH,26.44,363.10955023765564
TDS,443.0,367.27169919013977
EC,0.1,368.3750081062317
pH,25.57,379.3916139602661
TDS,442.4,383.5541145801544
EC,0.0,384.6589696407318
pH,25.7,395.67568469047546
TDS,442.4,399.8379936218262
EC,0.0,400.94126319885254
Nutrient,5,415.9567461013794
pH,25.82,416.9632842540741
TDS,442.4,421.1448197364807
EC,0.1,422.2493619918823
pH,26.68,433.2658004760742
TDS,442.4,437.4286141395569
EC,0.0,438.53189992904663
pH,25.82,449.5487017631531
TDS,443.0,453.71098709106445
EC,0.0,454.8142321109772
pH,25.39,465.831125497818
TDS,443.0,469.99422121047974
EC,0.1,471.09761929512024
pH,26.68,482.1141176223755
TDS,442.4,486.27654457092285
EC,0.1,487.37985491752625
pH,26.68,498.39633893966675
TDS,442.4,502.55895352363586
EC,0.0,503.66221380233765
Nutrient,5,518.6776835918427
pH,26.68,519.6842198371887
TDS,442.4,523.8674690723419
EC,0.0,524.9705941677094
pH,26.68,535.983537197113
TDS,442.4,540.1497385501862
EC,0.0,541.2543065547943
pH,26.68,552.2708864212036
TDS,443.0,556.4332008361816
EC,0.0,557.5366127490997
pH,25.7,568.5531890392303
TDS,443.0,572.7156035900116
EC,0.0,573.8189435005188
pH,25.57,584.835410118103
TDS,442.4,588.9992165565491
EC,0.0,590.1025912761688
pH,25.45,601.1190853118896
TDS,442.4,605.2816386222839
EC,0.1,606.3849995136261
